Views,Watch time (hours),Average view duration (Seconds),Average percentage viewed (%),Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Shares,Subscribers,Subscribers gained,Subscribers lost,Videos published,Estimated revenue (USD)
5125,110.0757,77,45.67,49,7,87.5,2,0,3,7,4,0,0.228
5125,122.6966,86,36.73,37,2,94.87,0,7,-1,3,4,0,0
5120,129.141,90,38.95,38,1,97.44,1,17,1,4,3,0,0
5112,117.6428,82,55.86,48,2,96,2,7,7,7,0,0,0
5102,124.59,87,37.33,41,4,91.11,2,14,3,4,1,0,0
5093,128.0878,90,39.06,44,0,100,1,24,4,4,0,0,0
5091,130.2409,92,42.93,38,3,92.68,0,12,0,2,2,0,0
5088,128.2939,90,43.17,86,3,96.63,2,33,9,11,2,0,0
5076,129.979,92,43.73,85,1,98.84,3,39,11,11,0,0,0
5061,137.5188,97,41.84,29,2,93.55,0,13,3,3,0,0,0
5051,130.8394,93,40.12,48,8,85.71,0,26,-1,2,3,0,0
5047,130.9765,93,40.02,54,3,94.74,2,23,4,4,0,0,0
5044,115.0256,82,46.25,45,6,88.24,3,2,4,8,4,0,0.267
5028,119.7009,85,36.24,30,1,96.77,0,6,4,5,1,0,0
5025,132.8708,95,38.9,44,1,97.78,1,6,4,7,3,0,0
5023,126.912,90,44.17,97,5,95.1,8,27,11,13,2,0,0
5019,100.9025,72,60.1,188,9,95.43,16,141,17,17,0,0,0.005
5015,104.1996,74,51.52,37,2,94.87,0,18,4,6,2,0,0
5010,100.9726,72,60.55,221,8,96.51,9,135,15,17,2,0,0.008
4998,94.8691,68,55.2,130,13,90.91,7,88,8,9,1,0,0
4994,128.0515,92,38.58,63,1,98.44,1,9,0,2,2,0,0
4985,118.4401,85,43.25,106,3,97.25,4,41,13,17,4,0,0
4982,127.6092,92,41.47,49,1,98,3,23,2,2,0,0,0
4978,122.7754,88,38.88,42,1,97.67,0,18,4,5,1,0,0
4975,130.9709,94,40.47,78,2,97.5,0,17,1,2,1,0,0
4974,126.9506,91,38.33,56,3,94.92,1,16,2,7,5,0,0
4973,136.5209,98,40.01,46,1,97.87,3,21,-1,4,5,0,0
4967,109.3934,79,42.66,48,4,92.31,1,1,5,5,0,0,0.338
4950,130.1283,94,39.51,63,0,100,1,9,-1,1,2,0,0
4949,121.0661,88,37.16,35,2,94.59,1,17,2,7,5,0,0
4941,204.6602,149,27.01,38,25,60.32,10,4,7,14,7,0,1.415
4934,126.3399,92,38.02,36,1,97.3,1,12,-2,3,5,0,0
4933,125.7358,91,38.52,37,1,97.37,2,13,6,8,2,0,0
4932,114.1024,83,36.16,50,2,96.15,2,14,-2,2,4,0,0
4912,125.4159,91,39.17,31,4,88.57,2,12,-1,0,1,0,0
4903,129.5989,95,39.53,57,4,93.44,1,17,4,8,4,0,0
4894,124.1514,91,41.09,28,3,90.32,0,12,4,5,1,0,0
4892,102.4864,75,60.47,193,9,95.54,15,156,17,22,5,0,0.004
4863,127.4112,94,38.91,44,1,97.78,1,12,3,4,1,0,0
4861,126.5547,93,38.77,49,1,98,0,7,-1,1,2,0,0
4856,130.2763,96,41.71,38,2,95,2,15,0,1,1,0,0
4850,120.1317,89,40.36,37,5,88.1,3,5,-2,4,6,0,0
4849,121.4004,90,43.36,95,5,95,5,34,3,10,7,0,0
4828,119.6591,89,42.62,96,7,93.2,8,38,3,9,6,0,0
4827,96.1975,71,55.32,178,6,96.74,9,85,11,15,4,0,0
4825,159.6046,119,46.84,9,0,100,0,6,1,1,0,0,0.006
4820,127.1371,94,40.42,32,1,96.97,1,13,0,1,1,0,0
4813,128.9369,96,41.56,45,0,100,2,12,2,2,0,0,0
4809,120.6119,90,37.73,37,3,92.5,0,18,5,7,2,0,0
4802,116.106,87,41.89,64,2,96.97,2,30,1,2,1,0,0
4793,135.6701,101,42.19,53,1,98.15,3,16,0,3,3,0,0
4792,92.9672,69,54.28,193,7,96.5,6,107,10,13,3,0,0.003
4778,117.852,88,35.92,27,1,96.43,0,10,1,5,4,0,0
4767,128.3401,96,40.34,48,2,96,1,22,1,2,1,0,0
4763,139.8674,105,41.29,12,1,92.31,3,29,3,3,0,0,0.013
4754,115.0303,87,42.99,119,1,99.17,3,39,1,9,8,0,0
4743,118.5275,89,45.64,101,4,96.19,8,19,12,14,2,0,0
4734,117.3849,89,37.87,34,1,97.14,1,10,-2,1,3,0,0
4716,99.9396,76,60.75,219,11,95.22,14,139,13,13,0,0,0
4715,102.2813,78,33.41,15,0,100,0,7,2,4,2,0,0.069
4712,121.1819,92,37.66,34,1,97.14,1,18,2,5,3,0,0
4709,116.2927,88,38.24,29,0,100,2,18,2,5,3,0,0
4696,113.9028,87,36.88,40,5,88.89,2,19,4,7,3,0,0
4696,122.8612,94,39.06,37,3,92.5,0,9,3,6,3,0,0
4695,107.3172,82,42.12,42,6,87.5,1,2,5,6,1,0,0.286
4692,116.42,89,42.92,94,2,97.92,6,30,4,6,2,0,0
4690,121.1068,92,38.33,44,1,97.78,1,22,-2,1,3,0,0
4686,125.514,96,44.53,81,4,95.29,7,44,10,10,0,0,0
4677,114.6099,88,38.52,45,2,95.74,1,8,5,5,0,0,0
4662,123.6304,95,40.62,43,2,95.56,2,15,0,2,2,0,0
4661,110.3015,85,37.02,34,2,94.44,0,16,-2,2,4,0,0
4648,108.4295,83,36.43,39,3,92.86,1,0,8,11,3,0,0.549
4648,116.5327,90,41.78,54,4,93.1,8,19,4,8,4,0,0
4648,119.0654,92,38.21,25,2,92.59,1,13,3,4,1,0,0
4643,98.5419,76,60.32,198,7,96.59,15,152,13,14,1,0,0
4641,109.5986,85,47.99,29,6,82.86,1,1,1,4,3,0,0.181
4632,118.4157,92,39.05,43,3,93.48,3,15,2,2,0,0,0
4632,117.9627,91,40.26,39,0,100,0,10,3,5,2,0,0
4628,188.7111,146,28.03,17,31,35.42,3,11,4,9,5,0,1.113
4628,121.1432,94,40.35,41,3,93.18,1,7,2,3,1,0,0
4627,117.0495,91,38.78,51,2,96.23,2,8,0,3,3,0,0
4625,71.5602,55,42.29,48,1,97.96,8,7,2,6,4,0,0.189
4618,113.032,88,42.63,56,7,88.89,5,39,6,7,1,0,0
4617,117.2159,91,38.29,51,-1,102,0,6,1,3,2,0,0
4615,98.3688,76,39.79,53,0,100,5,2,5,7,2,0,0.37
4615,122.1605,95,38.49,45,-1,102.27,1,7,2,2,0,0,0
4611,119.6303,93,38.64,34,2,94.44,1,7,2,4,2,0,0
4610,127.8546,99,42.06,25,0,100,2,17,-3,2,5,0,0
4608,115.3003,90,39.03,56,2,96.55,1,10,4,8,4,0,0
4605,117.879,92,45.06,107,1,99.07,7,34,6,10,4,0,0
4600,115.3827,90,38.6,58,6,90.63,1,16,0,2,2,0,0
4597,117.5624,92,38.99,40,3,93.02,5,17,4,5,1,0,0
4589,122.5854,96,41.26,62,3,95.38,3,19,0,2,2,0,0
4582,113.5787,89,37.52,56,1,98.25,1,5,-1,0,1,0,0
4579,114.9179,90,42.57,80,1,98.77,4,37,11,13,2,0,0
4567,89.8538,70,40.25,56,1,98.25,18,5,-3,8,11,2,0.221
4563,76.9799,60,52.07,46,2,95.83,2,1,-6,0,6,0,0.149
4549,116.8845,92,41,32,2,94.12,4,2,-1,4,5,0,0.247
4533,73.5496,58,45.55,34,4,89.47,4,5,7,7,0,0,0.114
4507,196.8155,157,32.38,39,13,75,4,4,10,16,6,0,1.175
4496,211.4786,169,31.8,25,11,69.44,6,8,2,7,5,0,1.222
4489,188.0774,150,29.54,40,15,72.73,2,5,10,10,0,0,1.078
4414,199.2035,162,39.47,74,5,93.67,6,9,16,18,2,0,2.458
4403,104.7777,85,42.36,34,4,89.47,7,4,-2,3,5,0,0.384
4385,91.6445,75,44,38,1,97.44,1,4,0,4,4,0,0.19
4364,171.5622,141,20.78,40,1,97.56,9,6,-7,4,11,0,2.372
4336,195.2977,162,31.31,38,13,74.51,2,7,4,11,7,0,1.331
4332,107.6668,89,41.69,38,0,100,1,3,1,7,6,0,0.325
4325,145.0905,120,29.32,34,3,91.89,1,4,6,9,3,0,1.218
4305,105.4694,88,43.3,37,1,97.37,1,1,-5,0,5,0,0.187
4218,158.7603,135,40.72,42,5,89.36,2,5,13,15,2,0,1.894
4200,112.7565,96,43.83,34,4,89.47,4,1,2,5,3,0,0.256
4142,108.4466,94,36.87,40,2,95.24,2,2,4,7,3,0,0.361
4131,98.4774,85,44.53,32,6,84.21,2,1,3,4,1,0,0.277
4129,102.8435,89,43.4,30,3,90.91,4,1,4,7,3,0,0.343
4090,156.2538,137,38.67,59,2,96.72,6,1,19,19,0,0,1.652
3974,167.5705,151,36.79,21,12,63.64,6,4,8,12,4,0,0.772
3939,121.8357,111,34.77,33,4,89.19,0,1,5,7,2,0,0.566
3939,89.3721,81,42.67,19,4,82.61,3,1,5,6,1,0,0.174
3890,108.1337,100,38.44,34,0,100,4,2,4,9,5,0,0.465
3835,66.4084,62,50.82,26,2,92.86,0,3,-3,1,4,0,0.101
3831,135.0781,126,29.18,32,3,91.43,4,0,7,10,3,0,1.419
3825,90.3734,85,42.43,36,1,97.3,4,0,1,4,3,0,0.288
3824,108.595,102,37.12,43,1,97.73,0,0,7,7,0,0,0.461
3745,140.4824,135,37.12,30,2,93.75,0,4,3,10,7,0,0.852
3682,140.036,136,21.48,21,7,75,11,3,1,5,4,0,2.718
3670,86.0368,84,41.6,38,4,90.48,2,0,-1,1,2,0,0.22
3629,114.1888,113,38.17,38,3,92.68,1,3,1,9,8,0,0.788
3624,100.5618,99,35.11,30,3,90.91,6,0,1,6,5,0,0.509
3598,107.7273,107,27.13,21,4,84,7,2,0,6,6,0,1.892
3518,132.6393,135,40.03,39,4,90.7,4,4,14,18,4,0,2.037
3515,100.2817,102,43.31,32,6,84.21,2,0,0,5,5,0,0.272
3504,77.5627,79,40.97,35,2,94.59,5,0,2,5,3,0,0.222
3500,137.1391,141,39.56,21,11,65.63,8,2,0,8,8,0,0.809
3467,131.3931,136,38.18,23,4,85.19,1,8,-1,5,6,0,0.64
3443,81.4016,85,39.83,18,1,94.74,6,1,-1,0,1,0,0.316
3388,150.7348,160,37.89,34,11,75.56,4,3,-1,3,4,0,0.851
3383,129.3626,137,40.4,57,5,91.94,5,8,13,13,0,0,1.833
3300,73.2476,79,41.97,23,2,92,1,1,-2,0,2,0,0.177
3267,95.2124,104,36.38,25,0,100,4,0,2,6,4,0,0.531
3218,103.206,115,37.97,20,2,90.91,0,3,2,5,3,0,0.305
3206,132.7976,149,32.28,14,8,63.64,6,0,3,7,4,0,0.88
3197,270.7534,304,31,39,2,95.12,3,0,6,9,3,0,4.219
